eventType,attribute,description
AwsLambdaInvocationError,parent.type,"If a distributed trace payload was received, the parent's data source type. For example: `App`, `Browser`, or `Mobile`."
AwsLambdaInvocationError,request.headers.contentLength,Incoming request size in bytes as read from the Content-Length HTTP request header.
AwsLambdaInvocationError,request.headers.contentType,Incoming request content-type as read from the HTTP request header Content-Type. For example: `application/octet-stream`.
AwsLambdaInvocationError,request.headers.host,The name from the HTTP host request header.
AwsLambdaInvocationError,request.headers.referer,The incoming request referer as read from the Referer request header.
AwsLambdaInvocationError,request.headers.User-Agent,The contents of the User-Agent HTTP header.
AwsLambdaInvocationError,request.method,The HTTP request method used. For example: `POST` or `GET`.
AwsLambdaInvocationError,requests.header.accept,The types as read from the HTTP Accept request header.
AwsLambdaInvocationError,response.headers.contentLength,The outgoing response size in bytes as read from the Content-Length response header.
AwsLambdaInvocationError,response.headers.contentType,"For an HTTP response, the data type of the returned response. For example: `text/html` or `application/json`."
AwsLambdaInvocationError,stackTrace,The error stack trace. The format will be different depending on the agent language.
AwsLambdaInvocationError,transactionName,Name of the transaction in which the error occurred. For example: `Controller/customers/show`. Value may be `Unknown` if error occurs outside of a transaction.
AwsLambdaInvocationError,type,The New Relic event type. For example: `Transaction` or `Span`.
BrowserInteraction,actionText,The text of the HTML element that was clicked when a browser interaction started.
BrowserInteraction,ajaxCount,A count of all XHRs included in the timing of a SPA interaction.
BrowserInteraction,appId,"The ID of your application, as recorded by New Relic."
BrowserInteraction,appName,The name of the application that handled the request as shown in New Relic Browser.
BrowserInteraction,asn,Autonomous System Number: a unique number identifying a group of IP networks that serves the content to the end-user.
BrowserInteraction,asnLatitude,The latitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's latitude.
BrowserInteraction,asnLongitude,The longitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's longitude.
BrowserInteraction,asnOrganization,"The organization that owns the Autonomous System Number. Often an ISP, sometimes a private company or institution."
BrowserInteraction,backendTransactionName,The name of the backend transaction that served the initial page load.
BrowserInteraction,browserInteractionId,A unique value generated for each Browser interaction captured by the New Relic agent.
BrowserInteraction,browserInteractionName,The name of the interaction. This is either the targetGroupedURL or the custom name set via the API.
BrowserInteraction,category,"The type of interaction; either initial page load, route change, or custom."
BrowserInteraction,city,"The city in which the PageView event occurred, such as Portland or Seattle."
BrowserInteraction,countryCode,"The country from which the browser initiated the page load. For a list of country codes, see ISO 3166-1 alpha-2."
BrowserInteraction,deviceType,"The type of device that loaded the page: either mobile, tablet, or desktop."
BrowserInteraction,domain,The domain portion of the request URL.
BrowserInteraction,duration,"The total duration, in seconds, of the interaction event"
BrowserInteraction,eventId,"A value that you can link to multiple BrowserInteraction events so you can view the interactions that occurred surrounding a specific event. For example, you can see the browser interactions that occurred prior to a JS error."
BrowserInteraction,jsDuration,"The total duration, in seconds, spent on JavaScript execution. (This attribute doesn't exist for initial page load events.)"
BrowserInteraction,monitorAccountId,The Synthetics account from which you are running the monitor.
BrowserInteraction,monitorId,A unique number identifying a particular monitor.
BrowserInteraction,monitorJobId,"The ID of a single Synthetics monitor run, which began at a specific time and originated from a specific location."
BrowserInteraction,parentEventId,A unique value generated for each interaction with the page. You can use this value to group interactions together.
BrowserInteraction,previousGroupedUrl,The grouped version of the URL in the browser at the start of the interaction.
BrowserInteraction,previousRouteName,The route name of the page at the start of the interaction. This is the last value passed by setCurrentRouteName before the start of the interaction.
BrowserInteraction,previousURL,The ungrouped URL in the browser at the start of the interaction.
BrowserInteraction,regionCode,"The specific administrative division within a country where the PageView event occurred. In the United States, regions correspond to state codes, such as WA or NY. Outside the United States, a country's regions correspond to numerical codes."
BrowserInteraction,session,A unique identifier for a single session. Sessions expire when the user closes the browser. A new identifier will be assigned when the user opens up a new browser window.
BrowserInteraction,targetGroupedUrl,The grouped version of the URL in the browser at the end of the interaction.
BrowserInteraction,targetRouteName,The route name for the page at the end of the interaction. The last value passed by setCurrentRouteName before the end of the interaction.
BrowserInteraction,targetUrl,The ungrouped URL in the browser at the end of the interaction.
BrowserInteraction,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
BrowserInteraction,timeToConnectEnd,"The time, in seconds, from the start of the interaction to the connectEnd, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToConnectStart,"The time, in seconds, from the start of the interaction to the connectStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToDomainLookupEnd,"The time, in seconds, from the start of the interaction to the domainLookupEnd, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToDomainLookupStart,"The time, in seconds, from the start of the interaction to the domainLookupStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToDomComplete,"The time, in seconds, from the start of the interaction to the domComplete, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToDomContentLoadedEventEnd,"The time, in seconds, from the start of the interaction to the domContentLoadedEventEnd, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToDomContentLoadedEventStart,"The time, in seconds, from the start of the interaction to the domContentLoadedEventStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToDomInteractive,"The time, in seconds, from the start of the interaction to the domInteractive, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToDomLoading,"The time, in seconds, from the start of the interaction to the domLoading, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToFetchStart,"The time, in seconds, from the start of the interaction to the fetchStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToLoadEventEnd,"The time, in seconds, from the start of the interaction to the loadEventEnd, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToLoadEventStart,"The time, in seconds, from the start of the interaction to the loadEventStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToRedirectEnd,"The time, in seconds, from the start of the interaction to the redirectEnd, as defined by the Navigation Timing API. This attribute exists only for initial page load events, not route changes."
BrowserInteraction,timeToRedirectStart,"The time, in seconds, from the start of the interaction to the redirectStart, as defined by the Navigation Timing API. This attribute exists only for initial page load events, not route changes."
BrowserInteraction,timeToRequestStart,"The time, in seconds, from the start of the interaction to the requestStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToResponseEnd,"The time, in seconds, from the start of the interaction to the responseEnd, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToResponseStart,"The time, in seconds, from the start of the interaction to the responseStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToSecureConnectionStart,"The time, in seconds, from the start of the interaction to the secureConnectionStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToUnloadEventEnd,"The time, in seconds, from the start of the interaction to the unloadEventEnd, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,timeToUnloadEventStart,"The time, in seconds, from the start of the interaction to the unloadEventStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
BrowserInteraction,trigger,"The cause of the route change or page load. The default values are click, submit, popstate, or initial page load. For a custom event created with the API, the default value for trigger will be api. This value can also be set via the API."
BrowserInteraction,userAgentName,"The browser’s name, such as Chrome and Firefox, obtained from the “User-Agent” header of an HTTP request."
BrowserInteraction,userAgentOS,"The browser’s reported operating system, such as Windows or Linux, that it is running on which is obtained from the “User-Agent” header of a HTTP request."
BrowserInteraction,userAgentVersion,The browser’s reported software version which is obtained from the “User-Agent” header of an HTTP request.
BrowserTiming,appId,"The ID of your application, as recorded by New Relic."
BrowserTiming,appName,The name of the application that handled the request as shown in New Relic Browser.
BrowserTiming,asn,Autonomous System Number: a unique number identifying a group of IP networks that serves the content to the end-user.
BrowserTiming,asnLatitude,The latitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's latitude.
BrowserTiming,asnLongitude,The longitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's longitude.
BrowserTiming,asnOrganization,"The organization that owns the Autonomous System Number. Often an ISP, sometimes a private company or institution."
BrowserTiming,browserInteractionId,A unique value generated for each Browser interaction captured by the New Relic agent.
BrowserTiming,browserInteractionName,The name of the interaction. This is either the targetGroupedURL or the custom name set via the API.
BrowserTiming,browserTimingName,The name of the event. This is taken from the name argument of createTracer.
BrowserTiming,city,"The city in which the PageView event occurred, such as Portland or Seattle."
BrowserTiming,countryCode,"The country from which the browser initiated the page load. For a list of country codes, see ISO 3166-1 alpha-2."
BrowserTiming,deviceType,"The type of device that loaded the page: either mobile, tablet, or desktop."
BrowserTiming,eventId,"A value that you can link to multiple BrowserInteraction events so you can view the interactions that occurred surrounding a specific event. For example, you can see the browser interactions that occurred prior to a JS error."
BrowserTiming,groupedPageURL,The grouped URL of the view that made the AJAX request. For example: myapp.com/acct/*/dash.
BrowserTiming,jsDuration,"The total duration, in seconds, spent on JavaScript execution. (This attribute doesn't exist for initial page load events.)"
BrowserTiming,pageUrl,The URL of the page that was loaded for the PageView. For example: http://www.newrelic.com. This URL does not include query parameters.
BrowserTiming,parentEventId,A unique value generated for each interaction with the page. You can use this value to group interactions together.
BrowserTiming,regionCode,"The specific administrative division within a country where the PageView event occurred. In the United States, regions correspond to state codes, such as WA or NY. Outside the United States, a country's regions correspond to numerical codes."
BrowserTiming,session,A unique identifier for a single session. Sessions expire when the user closes the browser. A new identifier will be assigned when the user opens up a new browser window.
BrowserTiming,timeSinceBrowserInteractionStart,The time in seconds between the start of the BrowserInteraction and the start of the request.
BrowserTiming,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
BrowserTiming,timeToLastCallbackEnd,"The duration, in seconds, from the start of the request (timestamp) to the end of the last callback. This is not just an additive function; the callback time can overlap with the wait time."
BrowserTiming,timeToSettle,"The time, in seconds, from the start of the request to when all resulting callbacks (including callbacks of subsequent AJAX requests) are complete."
BrowserTiming,timeToTracedCallbackStart,The time in seconds from the start of the custom tracer until the start of the traced callback. This attribute is unique to the BrowserTiming event.
BrowserTiming,tracedCallbackDuration,The duration in seconds of the traced callback. This attribute is unique to the BrowserTiming event.
BrowserTiming,userAgentName,"The browser’s name, such as Chrome and Firefox, obtained from the “User-Agent” header of an HTTP request."
BrowserTiming,userAgentOS,"The browser’s reported operating system, such as Windows or Linux, that it is running on which is obtained from the “User-Agent” header of a HTTP request."
BrowserTiming,userAgentVersion,The browser’s reported software version which is obtained from the “User-Agent” header of an HTTP request.
InfrastructureEvent,category,"A New Relic category used to organize events in the UI. For example: automation, notification, and service."
InfrastructureEvent,changedPath,The fully specified name of the item that changed. This is constructed by taking the source and adding one or more additional path elements that uniquely identify the item that changed.
InfrastructureEvent,changeType,"A simple classification of the type of change made to the entity: added, modified, or removed."
InfrastructureEvent,deltaId,Delta refers to a recorded change in the system. The deltaId is a number used by New Relic to organize incoming inventory change data.
InfrastructureEvent,eventId,"The unique ID of the event, generated by New Relic."
InfrastructureEvent,format,The type of infrastructure event. Each format type includes attributes that may be used to render the event in the UI.
InfrastructureEvent,newStatus,The new agent status: disconnected or connected.
InfrastructureEvent,newValue,"If a change is made to the entity, this attribute contains the new value of the inventory that was changed. This will have no value if no change has been made. The value will display approximately 4K bytes of data."
InfrastructureEvent,oldValue,"If a change is made to the entity, this attribute contains the old value of the inventory that was changed. This will be blank if no change has been made."
InfrastructureEvent,provider,"For integrations that use generic event types (like the DatastoreSample event), the provider value specifies the source of the data (the service, or a sub-category of data from that service)."
InfrastructureEvent,source,"The fully specified origin of this inventory item. This is typically in the form category/plugin, where plugin is the generic word used for the tool that gathered this data."
InfrastructureEvent,summary,"A summary of the change that happened. Uses a human-friendly string, such as Agent disconnected."
InfrastructureEvent,violationUpdateType,The type of change to the violation: For example: open or closed.
JavaScriptError,appId,The identification number for the reporting browser agent.
JavaScriptError,appName,The name of the application that handled the request as shown in New Relic Browser.
JavaScriptError,browserInteractionId,A unique value generated for each Browser interaction captured by the New Relic agent.
JavaScriptError,browserStackHash,An unique identifier generated for a stack trace. The browserStackHash for a stack trace is different across different browsers. An identical stack trace will generate the same identifier.
JavaScriptError,deviceType,"The type of device that loaded the page: either mobile, tablet, or desktop."
JavaScriptError,errorClass,The error type.
JavaScriptError,errorMessage,The error message that was delivered.
JavaScriptError,firstErrorInSession,A value to indicate whether or not this was the first JS error in the session. Example: true.
JavaScriptError,parentEventId,A unique value generated for each interaction with the page. You can use this value to group interactions together.
JavaScriptError,releaseIds,"The releases in which the app was updated. Example: {\""jQuery\"":\""v3.1.1\"",\""multiverse\"":\""96e9ac7\""}."
JavaScriptError,requestUri,The URI of the requested resource.
JavaScriptError,stackHash,A unique identifier generated by the Browser agent for a stack trace. The stackHash for a stack trace is the same across different browsers. An identical stack trace will generate the same identifier.
JavaScriptError,stackTrace,A collection of the active stack frames when the error occurred.
JavaScriptError,timestamp,"The time that the error occurred, in Unix time."
JavaScriptError,transactionName,"The full metric name of the transaction in which the error occurred, or Unknown if the error occurs outside of a transaction."
JavaScriptError,userAgentName,"The browser’s name, such as Chrome and Firefox, obtained from the “User-Agent” header of an HTTP request."
JavaScriptError,userAgentOS,"The browser’s reported operating system, such as Windows or Linux, that it is running on which is obtained from the “User-Agent” header of a HTTP request."
JavaScriptError,userAgentVersion,The browser’s reported software version which is obtained from the “User-Agent” header of an HTTP request.
Mobile,category,"The type of data, either session or interaction."
Mobile,interactionDuration,"For interaction category events only. This is the total time for the interaction to render on the device. In addition to render time, this usually includes all external calls associated with the interaction.  Currently, this attribute is measured in seconds for Android devices and in milliseconds for iOS devices."
Mobile,name,For interaction category events only. This is the label of the interaction associated with the event. It is by default assigned by New Relic.  For example: ApplicationsListFragment or Display iOS_Example.MasterViewController.
Mobile,reportedTimestampMs,"For interaction category events only. The UTC based timestamp for when the event was sent to New Relic. This is different from the attribute ‘timestamp’, which is when the event began."
MobileCrash,architecture,The processor architecture of the device. For example: armv7 or arm64.
MobileCrash,bundleId,The unique string used to identify the application.
MobileCrash,crashException,"The exception associated with the crash, if one is present. For example: java.lang.NullPointerException."
MobileCrash,crashFingerprint,The New Relic-generated fingerprint used to uniquely identify the crash and other crashes identical to this one.
MobileCrash,crashLocationFile,The file in which the crash occurred.
MobileCrash,crashMessage,"The message associated with the crash, if one is present."
MobileCrash,diskAvailable,"Space available on the device, in bytes."
MobileCrash,interactionHistory,The client interactions with the application that led to the crash.
MobileCrash,isFirstOccurrence,A boolean value indicating whether or not this was the first occurrence of the crash.
MobileCrash,modelNumber,The model of the device. This is the same as the session-level deviceModel attribute.
MobileCrash,networkStatus,"The type of network that the device was on at the time of crash, such as wifi or LTE."
MobileCrash,occurrenceId,The ID for this instance of the crash.
MobileCrash,orientation,"The orientation of the device, such as landscape or portrait."
MobileCrash,osBuild,For Android only. The specific build of the Android OS.
MobileCrash,parentProcess,The parent process that launched the crashing process.
MobileCrash,parentProcessId,The parent identification number (PID) of the parent process.
MobileCrash,processId,The PID of the previously running process on the device.
MobileCrash,processName,The name of the previously running process.
MobileCrash,processPath,The path to the binary.
MobileCrash,reportedTimestampMs,"The UTC timestamp for when the event was received by New Relic. (This is different from timestamp, which is when the MobileSession event began that crashed.)"
MobileCrash,sessionCrashed,A boolean value indicating whether or not that session crashed.
MobileCrash,symbolicated,A boolean value indicating whether or not the crash was properly symbolicated.
MobileCrash,timeSinceLastInteraction,"The time, in seconds, since the interaction before a crash event."
MobileCrash,userImageUuids,The array of build UUIDs for applications and libraries.
MobileHandledException,exceptionAppBuildUuid,The build identifier (uuid) of the binary in which the exception was caught.
MobileHandledException,exceptionCause,The platform-specific cause of the exception.
MobileHandledException,exceptionLocation,"New Relic defined location of an exception. Contains a combination of exception file name, class, line number, and method."
MobileHandledException,exceptionLocationClass,Comes from the exception: The class that generated the exception.
MobileHandledException,exceptionLocationFile,Comes from the exception: The file where the exception was generated.
MobileHandledException,exceptionLocationLine,Comes from the exception: The line number where the exception was generated.
MobileHandledException,exceptionLocationMethod,Comes from the exception: The method that generated the exception..
MobileHandledException,exceptionMessage,"Message associated with the exception. For Android, the Throwable message. An exception message comes from the exception. The message can be user-generated or a generic system message such as Null pointer."
MobileHandledException,exceptionName,The potentially symbolicated or deobfuscated exception type.
MobileRequest,bytesReceived,"Optional: If the application received a response from the requestUrl, the size of that response in bytes."
MobileRequest,bytesSent,"Optional: If the application sent a request to the requestUrl, the size of that request in bytes."
MobileRequest,connectionType,"The type of connection which the device was using, such as 2G or 3G."
MobileRequest,deviceSize,"The display size of the device: Small, normal, large, xlarge."
MobileRequest,requestDomain,The domain that the application attempted to access when the request occurred.
MobileRequest,requestMethod,"The REST method (GET, PUT, POST, etc.) that the application attempted when the request occurred."
MobileRequest,requestPath,The path that the application attempted to access when the request occurred.
MobileRequest,requestUrl,The URL that the application attempted to access when the request occurred.
MobileRequest,responseTime,The time between the request and the response in fractional seconds.
MobileRequest,statusCode,"If the request is an HTTP Request, New Relic will record the statusCode of that request. You can facet on any statusCode or query for codes you're interested in."
MobileRequestError,bytesReceived,"Optional: If the application received a response from the requestUrl, the size of that response in bytes."
MobileRequestError,bytesSent,"Optional: If the application sent a request to the requestUrl, the size of that request in bytes."
MobileRequestError,connectionType,"The type of connection which the device was using, such as 2G or 3G."
MobileRequestError,deviceSize,"The display size of the device: Small, normal, large, xlarge."
MobileRequestError,errorType,"Either HTTPError or NetworkFailure, depending on whether the error is a result of a failed request to a host or a failure on the cellular network."
MobileRequestError,networkError,The error message associated with the iOS NSURL Error code. See networkErrorCode for more information.
MobileRequestError,networkErrorCode,"If the error is a network error, this is the iOS network error code. For Android applications, this is the mapped value."
MobileRequestError,requestDomain,The domain that the application attempted to access when the error occurred.
MobileRequestError,requestMethod,"The REST method (GET, PUT, POST, etc.) that the application attempted when the error occurred."
MobileRequestError,requestPath,The path that the application attempted to access when the error occurred.
MobileRequestError,requestUrl,The URL that the application attempted to access when the error occurred.
MobileRequestError,responseBody,"Optional: The response that is sent from the requestDomain for the HTTP error, up to 4096 bytes."
MobileRequestError,responseTime,The time between the request and the response in fractional seconds.
MobileRequestError,statusCode,"If the error is an HTTPError, New Relic will record the statusCode of that error. You can facet on any statusCode or query for codes you're interested in."
MobileSession,appBuild,"Indicates the technical build number of the binary that crashed. As a developer, you can use this attribute to see exactly which build of your app crashed."
MobileSession,appId,"A unique identifier for a monitored app, based on the app token. For example: 35091."
MobileSession,appName,The name of the monitored app. For example: My Mobile App - iOS.
MobileSession,appVersion,The version number of the monitored app. For example: 2.2.9.
MobileSession,appVersionId,An identifier for the specific version of the app. For example: 1713477.
MobileSession,asn,Autonomous System Number: a unique number identifying a group of IP networks that serves the content to the end-user.
MobileSession,asnOwner,The telecom owner of the ASN.
MobileSession,carrier,"The mobile network over which the app transferred data, such as wifi, Verizon, or Sprint."
MobileSession,category,"The type of data, either session or interaction."
MobileSession,city,"The city in which the PageView event occurred, such as Portland or Seattle."
MobileSession,countryCode,"The country from which the browser initiated the page load. For a list of country codes, see ISO 3166-1 alpha-2."
MobileSession,device,"The specific type of the device: iPhone 8, iPad Pro, etc."
MobileSession,deviceGroup,"The category of the device, such as iPhone or Tablet."
MobileSession,deviceManufacturer,"The manufacturer of the device, such as Motorola or HTC."
MobileSession,deviceModel,"The model number of the device, such as XT1039 or SM-G900F."
MobileSession,deviceType,"The specific type of device: iPhone 8, iPad Pro, etc."
MobileSession,deviceUuid,The specific UUID of the device assigned by New Relic.
MobileSession,install,Indicates true only if the current session is the first session after app install.
MobileSession,lastInteraction,"The last interaction before a crash event, if one is present, such as App Launch."
MobileSession,memUsageMb,"The total amount of memory, in MB, used by the application. Updated every 60 seconds."
MobileSession,newRelicAgent,The New Relic agent running on the application. For example: the iOSAgent or the androidAgent.
MobileSession,newRelicVersion,The version number of the agent running on the application. For example: 4.232.0.
MobileSession,osMajorVersion,"The simplified version number of the app's host operating system, such as iOS 11, as compared to iOS 11.0.4."
MobileSession,osName,"The name of the app's host operating system, for example, iOS or Android."
MobileSession,osVersion,"The exact version number of the app's host operating system, such as iOS 11.0.4, as compared to iOS 11."
MobileSession,platform,"The platform type of the New Relic Mobile agent, such as Android, iOS, or Cordova."
MobileSession,platformVersion,The version number of the New Relic Mobile agent running on the application. For example: 4.232.0.
MobileSession,regionCode,"The specific region within a country where the monitored app is located. In the United States, regions are states."
